point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,七宝镇方言研究
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,M,玛,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,M,骂,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,N,拿,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS,茶,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,楂,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,渣,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,诈,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,榨,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,炸,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,叉,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,杈,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,差,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,岔,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,差,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,查,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,乍,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,沙,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,纱,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,痧,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,砂,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,洒,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,家,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,傢,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,加,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,痂,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,嘉,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,枷,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,袈,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,假,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,贾,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,假,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,架,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,驾,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,嫁,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,稼,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,价,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,揢,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,牙,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,芽,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,衙,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,伢,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,蚜,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,雅,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,K,砑,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,虾,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,霞,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,下,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,厦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,下,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,鸦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,丫,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,桠,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,哑,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,麻,Ø,亚,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,补,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,谱,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,哺,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,布,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,佈,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,铺,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,潽,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,普,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,浦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,铺,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,怖,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,蒲,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,菩,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,脯,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,葡,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,莆,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,部,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,簿,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,篰,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,步,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,捕,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,P,埠,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,模,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,模,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,摹,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,姥,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,暮,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,慕,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,墓,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,募,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,M,睦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,都,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,都,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,赌,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,堵,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,肚,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,睹,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,妒,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,土,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,吐,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,吐,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,兔,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,徒,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,屠,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,途,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,涂,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,图,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,杜,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,肚,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,度,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,渡,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,T,镀,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,N,奴,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,N,努,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,N,怒,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,卢,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,炉,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,芦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,鸬,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,颅,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,鲈,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,鲁,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,橹,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,虏,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,卤,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,路,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,赂,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,露,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,L,鹭,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,租,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,祖,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,组,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,做,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,粗,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,醋,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,措,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,错,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,苏,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,酥,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,素,,,
