韵,声组,汉字,瓯江片
豪,Ø,毫,ɦɜ
豪,Ø,号,ɦɜ
豪,Ø,蠔,ɦɜ
豪,Ø,浩,ɦɜ
豪,Ø,号,ɦɜ
豪,Ø,爊,ɜ
豪,Ø,袄,ɜ
豪,Ø,懊,ɜ
豪,Ø,奥,ɜ
豪,Ø,懊,ɜ
豪,Ø,澳,ɜ
侯,P,剖,p'ɜ
侯,M,某,mu/2mo
侯,M,亩,mɜ
侯,M,牡,mɜ
侯,M,母,mu/2mo
侯,M,拇,mu
侯,M,戊,mɜ
侯,M,茂,mɜ
侯,M,贸,mɜ
侯,T,兜,tau
侯,T,斗,tau
侯,T,抖,tau
侯,T,陡,tau
侯,T,蚪,tau
侯,T,斗,tau
侯,T,偷,t'au
侯,T,敨,t'au
侯,T,透,t'au
侯,T,头,
侯,T,投,dau
侯,T,骰,
侯,T,豆,dɤu
侯,T,逗,dau
侯,T,痘,dɤu
侯,T,脰,
侯,L,楼,lau
侯,L,搂,lau
侯,L,耧,lau
侯,L,娄,lau
侯,L,搂,lau
侯,L,篓,lau白渔～
侯,L,溇,
侯,L,漏,lau
侯,L,陋,lau
侯,TS,走,tsau
侯,TS,奏,tsau
侯,TS,凑,ts'au
侯,TS,叟,sau
侯,TS,嗽,sau
侯,K,勾,kau
侯,K,钩,kau
侯,K,沟,kau
侯,K,狗,kau
侯,K,苟,kau
侯,K,垢,kau
侯,K,枸,kau
侯,K,彀,kau
侯,K,够,kau
侯,K,构,kau
侯,K,购,kau
侯,K,勾,kau
侯,K,抠,k‘au～门
侯,K,眍,k‘au
侯,K,口,k‘au
侯,K,叩,k‘au
侯,K,扣,k‘au
侯,K,寇,k‘au
侯,K,藕,ŋau
侯,K,偶,ŋau
侯,K,偶,ŋau
侯,Ø,吼,hau
侯,Ø,侯,ɦau
侯,Ø,喉,ɦau
侯,Ø,猴,ɦau
侯,Ø,瘊,ɦau
侯,Ø,後,ɦau
侯,Ø,厚,ɦau
侯,Ø,后,ɦau
侯,Ø,候,ɦau
侯,Ø,鲎,hau
侯,Ø,欧,au
侯,Ø,瓯,
侯,Ø,区,au/tɕ‘y（排除）～域
侯,Ø,鸥,au
侯,Ø,呕,au
侯,Ø,殴,au
侯,Ø,沤,au
侯,Ø,怄,au
蟹,P,拜,pa
蟹,P,排,ba
蟹,P,𩏄,
蟹,M,埋,ma
蟹,L,攋,
蟹,TS*,䍉,
蟹,TS*,箉,
蟹,TS*,斋,tsa
蟹,TS*,豺,za
蟹,K,皆,ka
蟹,K,阶,ka
蟹,K,稭,
蟹,K,偕,ka
蟹,K,介,ka
蟹,K,界,ka
蟹,K,芥,ka
蟹,K,尬,ka
蟹,K,疥,ka
蟹,K,届,ka
蟹,K,戒,ka
蟹,K,庎,
蟹,K,揩,k'a
蟹,K,楷,k'a
蟹,Ø,谐,ɦa
蟹,Ø,骇,ɦa
蟹,Ø,械,ɦa
蟹,Ø,挨,a
蟹,P,摆,pa
蟹,P,派,p'a
蟹,P,牌,ba
蟹,P,簰,ba
蟹,P,罢,ba
蟹,P,稗,ba
蟹,M,买,ma
蟹,M,卖,ma
蟹,N,奶,na
蟹,TS*,债,tsa
蟹,TS*,钗,ts'a
蟹,TS*,差,ts'a
蟹,TS*,柴,za
蟹,TS*,筛,sa
蟹,TS*,洒,sa
蟹,TS*,晒,sa
蟹,K,佳,ko
蟹,K,街,ka
蟹,K,解,ka
蟹,K,懈,
蟹,K,涯,ŋa
蟹,K,崖,ŋa
蟹,K,捱,
蟹,Ø,鞋,ɦa
蟹,Ø,解,ka
蟹,Ø,解,ka
蟹,Ø,蟹,ha
蟹,Ø,矮,a
蟹,Ø,隘,a
