point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
LY01,溧阳,太湖片-毗陵小片,,,麻,TS,茶,o,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS,搽,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS,䖳,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,楂,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,渣,o,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,诈,o,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,榨,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,炸,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,叉,o,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,杈,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,差,o,出～
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,岔,o,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,差,o,出～
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,茬,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,查,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,乍,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,沙,o,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,纱,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,痧,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,砂,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,鲨,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,裟,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,洒,,
LY01,溧阳,太湖片-毗陵小片,,,麻,TS*,厦,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,家,o,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,傢,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,加,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,痂,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,嘉,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,枷,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,袈,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,假,o/ie,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,贾,iɑ,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,假,o/ie,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,架,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,驾,,
LY01,溧阳,太湖片-毗陵小片,,,麻,K,嫁,o/io,
