group_type,group_value,model,token_count,task_count,point_count,success_token_count,failure_token_count,success_token_share,weighted_mean_success_path_cost,main_chain_deposit_share,core_split_deposit_share,lowering_deposit_share,u_to_əu_normalized,u_to_o_normalized,u_to_ɷ_normalized,ɷ_to_o_normalized,s3_o_token_count,s3_o_reached_token_count,s3_o_reached_share,top_edges
subbranch_onset,太湖片-临绍小片__TS,base_main_chain,679,17,17,654,25,0.9631811487481591,1.2007228267105499,0.710225151604403,0.03517547808043552,0.0,5.055301168322937e-10,0.0,0.0,0.0,14,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.610 | a>ɔ:0.487 | o>ɤ:0.091 | a>ɑ:0.087
subbranch_onset,太湖片-临绍小片__TS,with_s3_lowering,679,17,17,678,1,0.9985272459499264,1.1723949483671035,0.6658409314461741,0.04260040600255417,0.039213613880213265,5.068738186897473e-10,0.09604044851049837,6.885569973179572e-07,6.885569973179572e-07,14,14,1.0,ɔ>o:1.000 | ɑ>ɔ:0.588 | a>ɔ:0.515 | o>ou:0.096 | u>o:0.094
subbranch_onset,太湖片-临绍小片__Ø,base_main_chain,772,13,17,769,3,0.9961139896373057,1.230630822269914,0.813953062442945,0.049756036591816995,0.0,5.520468767925283e-10,0.0,0.0,0.0,1,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.953 | a>ɑ:0.289 | o>ɷ:0.219 | ɷ>u:0.219
subbranch_onset,太湖片-临绍小片__Ø,with_s3_lowering,772,13,17,770,2,0.9974093264248705,1.215727987485492,0.7749904021400523,0.04359091895051374,0.0019557888198259562,5.827907525652454e-10,0.004773078823710459,1.8823977931864352e-05,1.8823977931864352e-05,1,1,1.0,ɔ>o:1.000 | ɑ>ɔ:0.826 | ɷ>u:0.246 | o>ɷ:0.246 | ɑ>o:0.238
subbranch_onset,太湖片-毗陵小片__K,base_main_chain,480,16,9,480,0,1.0,1.3033965952074993,0.6878723131584935,0.1240995606879836,0.0,0.07404040712706768,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.688 | a>ɑ:0.465 | o>ɷ:0.301 | ɔ>ʌ:0.246
subbranch_onset,太湖片-毗陵小片__K,with_s3_lowering,480,16,9,480,0,1.0,1.279513486118511,0.7066392553050045,0.11347758862489164,0.0002122342851787072,0.0801180480148673,6.357411457019851e-10,2.718176271159217e-07,6.357411457019851e-10,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.668 | a>ɑ:0.490 | o>ɷ:0.323 | ɔ>ʌ:0.283
subbranch_onset,太湖片-毗陵小片__M,base_main_chain,134,21,9,100,34,0.746268656716418,1.0818026786452009,0.7446559348122388,0.1430292611737891,0.0,0.31526830511988646,0.0,0.0,0.0,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.745 | ɔ>o:0.604 | u>əu:0.318 | o>ɷ:0.128
subbranch_onset,太湖片-毗陵小片__M,with_s3_lowering,134,21,9,115,19,0.8582089552238806,1.020730407879037,0.6445657918483362,0.12633873199521184,0.12581051698267415,0.2938495630327587,1.111090659981971e-09,0.43793130501110994,0.04663158593409793,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.738 | ɔ>o:0.587 | u>ɷ:0.439 | u>əu:0.291
subbranch_onset,太湖片-毗陵小片__N,base_main_chain,212,16,9,183,29,0.8632075471698113,1.3675323732155638,0.6076143062661584,0.15348081466104754,0.0,0.09865364128843143,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.560 | o>ɷ:0.337 | ɔ>ə:0.212 | o>ɤ:0.197
subbranch_onset,太湖片-毗陵小片__N,with_s3_lowering,212,16,9,186,26,0.8773584905660378,1.3458720565094555,0.6063149153122656,0.15105429524353384,0.015828317663880206,0.10441664375156968,0.0011665075340078785,0.03097678350467314,0.027712489895656875,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.532 | o>ɷ:0.355 | ɔ>ə:0.258 | ɔ>ʌ:0.171
